Flat #1 : 25 days
Flat #2 : 20 days
Flat #3 : 20 days
Flat #4 : 26 days
Flat #5 : 28 days
Flat #6 : 29 days
Flat #7 : 24 days
Flat #8 : 21 days
Flat #9 : 28 days
Flat #10 : 27 days
Flat #11 : 29 days
Flat #12 : 27 days
Flat #13 : 24 days
Flat #14 : 26 days
Flat #15 : 26 days
Flat #16 : 25 days
Flat #17 : 25 days
Flat #18 : 29 days
Flat #19 : 21 days
Flat #20 : 26 days
Flat #21 : 21 days
Flat #22 : 20 days
Flat #23 : 25 days
Flat #24 : 28 days
Flat #25 : 29 days
Flat #26 : 26 days
Flat #27 : 23 days
Flat #28 : 26 days
Flat #29 : 20 days
Flat #30 : 20 days
Flat #31 : 21 days
Flat #32 : 20 days
Flat #33 : 25 days
Flat #34 : 27 days
Flat #35 : 21 days
Flat #36 : 26 days
Flat #37 : 22 days
Flat #38 : 24 days
Flat #39 : 26 days
Flat #40 : 24 days
Flat #41 : 24 days
Flat #42 : 28 days
Flat #43 : 21 days
Flat #44 : 22 days
Flat #45 : 24 days
Flat #46 : 27 days
Flat #47 : 28 days
Flat #48 : 27 days
Flat #49 : 24 days
Flat #50 : 26 days
Flat #51 : 20 days
Flat #52 : 26 days
Flat #53 : 23 days
Flat #54 : 21 days
Flat #55 : 22 days
Flat #56 : 21 days
Flat #57 : 24 days
Flat #58 : 28 days
Flat #59 : 23 days
Flat #60 : 23 days
Flat #61 : 21 days
Flat #62 : 20 days
Flat #63 : 27 days
Flat #64 : 21 days
Flat #65 : 22 days
Flat #66 : 24 days
Flat #67 : 20 days
Flat #68 : 21 days
Flat #69 : 28 days
Flat #70 : 27 days
Flat #71 : 20 days
Flat #72 : 23 days
Flat #73 : 20 days
Flat #74 : 21 days
Flat #75 : 24 days
Flat #76 : 26 days
Flat #77 : 22 days
Flat #78 : 23 days
Flat #79 : 25 days
Flat #80 : 25 days
Flat #81 : 23 days
Flat #82 : 22 days
Flat #83 : 20 days
Flat #84 : 29 days
Flat #85 : 23 days
Flat #86 : 29 days
Flat #87 : 22 days
Flat #88 : 25 days
Flat #89 : 28 days
Flat #90 : 28 days
Flat #91 : 20 days
Flat #92 : 25 days
Flat #93 : 23 days
Flat #94 : 23 days
Flat #95 : 20 days
Flat #96 : 23 days
Flat #97 : 25 days
Flat #98 : 24 days
Flat #99 : 26 days
Flat #100 : 28 days
