Flat #1 : UA 249100
Flat #2 : UA 89500
Flat #3 : UA 243000
Flat #4 : UA 125800
Flat #5 : UA 84100
Flat #6 : UA 39700
Flat #7 : UA 89100
Flat #8 : UA 153200
Flat #9 : UA 222800
Flat #10 : UA 207500
Flat #11 : UA 76800
Flat #12 : UA 78800
Flat #13 : UA 104700
Flat #14 : UA 175700
Flat #15 : UA 123900
Flat #16 : UA 36900
Flat #17 : UA 119300
Flat #18 : UA 86200
Flat #19 : UA 148400
Flat #20 : UA 169500
Flat #21 : UA 202800
Flat #22 : UA 52000
Flat #23 : UA 264900
Flat #24 : UA 232000
Flat #25 : UA 181600
Flat #26 : UA 50500
Flat #27 : UA 47900
Flat #28 : UA 192000
Flat #29 : UA 117000
Flat #30 : UA 65400
Flat #31 : UA 121800
Flat #32 : UA 116700
Flat #33 : UA 96100
Flat #34 : UA 227500
Flat #35 : UA 275600
Flat #36 : UA 51100
Flat #37 : UA 122900
Flat #38 : UA 110200
Flat #39 : UA 86200
Flat #40 : UA 215500
Flat #41 : UA 177200
Flat #42 : UA 107700
Flat #43 : UA 170700
Flat #44 : UA 65000
Flat #45 : UA 192100
Flat #46 : UA 83000
Flat #47 : UA 251100
Flat #48 : UA 83300
Flat #49 : UA 61900
Flat #50 : UA 153900
Flat #51 : UA 90900
Flat #52 : UA 44500
Flat #53 : UA 211900
Flat #54 : UA 81600
Flat #55 : UA 67800
Flat #56 : UA 175100
Flat #57 : UA 135500
Flat #58 : UA 214900
Flat #59 : UA 182800
Flat #60 : UA 61700
Flat #61 : UA 75700
Flat #62 : UA 212900
Flat #63 : UA 125800
Flat #64 : UA 139000
Flat #65 : UA 91100
Flat #66 : UA 119500
Flat #67 : UA 188200
Flat #68 : UA 225400
Flat #69 : UA 197300
Flat #70 : UA 211900
Flat #71 : UA 135800
Flat #72 : UA 30600
Flat #73 : UA 146000
Flat #74 : UA 147600
Flat #75 : UA 137300
Flat #76 : UA 39200
Flat #77 : UA 138300
Flat #78 : UA 103000
Flat #79 : UA 257600
Flat #80 : UA 116700
Flat #81 : UA 110300
Flat #82 : UA 285500
Flat #83 : UA 92900
Flat #84 : UA 176700
Flat #85 : UA 41400
Flat #86 : UA 215200
Flat #87 : UA 51800
Flat #88 : UA 225900
Flat #89 : UA 97100
Flat #90 : UA 174300
Flat #91 : UA 0
Flat #92 : UA 0
Flat #93 : UA 0
Flat #94 : UA 39000
Flat #95 : UA 112500
Flat #96 : UA 17200
Flat #97 : UA 126700
Flat #98 : UA 39800
Flat #99 : UA 101200
Flat #100 : UA 201200
