Flat #1 : 16 days
Flat #2 : 11 days
Flat #3 : 11 days
Flat #4 : 17 days
Flat #5 : 19 days
Flat #6 : 20 days
Flat #7 : 15 days
Flat #8 : 12 days
Flat #9 : 19 days
Flat #10 : 18 days
Flat #11 : 20 days
Flat #12 : 18 days
Flat #13 : 15 days
Flat #14 : 17 days
Flat #15 : 17 days
Flat #16 : 16 days
Flat #17 : 16 days
Flat #18 : 20 days
Flat #19 : 12 days
Flat #20 : 17 days
Flat #21 : 12 days
Flat #22 : 11 days
Flat #23 : 16 days
Flat #24 : 19 days
Flat #25 : 20 days
Flat #26 : 17 days
Flat #27 : 14 days
Flat #28 : 17 days
Flat #29 : 11 days
Flat #30 : 11 days
Flat #31 : 12 days
Flat #32 : 11 days
Flat #33 : 16 days
Flat #34 : 18 days
Flat #35 : 12 days
Flat #36 : 17 days
Flat #37 : 13 days
Flat #38 : 15 days
Flat #39 : 17 days
Flat #40 : 15 days
Flat #41 : 15 days
Flat #42 : 19 days
Flat #43 : 12 days
Flat #44 : 13 days
Flat #45 : 15 days
Flat #46 : 18 days
Flat #47 : 19 days
Flat #48 : 18 days
Flat #49 : 15 days
Flat #50 : 17 days
Flat #51 : 11 days
Flat #52 : 17 days
Flat #53 : 14 days
Flat #54 : 12 days
Flat #55 : 13 days
Flat #56 : 12 days
Flat #57 : 15 days
Flat #58 : 19 days
Flat #59 : 14 days
Flat #60 : 14 days
Flat #61 : 12 days
Flat #62 : 11 days
Flat #63 : 18 days
Flat #64 : 12 days
Flat #65 : 13 days
Flat #66 : 15 days
Flat #67 : 11 days
Flat #68 : 12 days
Flat #69 : 19 days
Flat #70 : 18 days
Flat #71 : 11 days
Flat #72 : 14 days
Flat #73 : 11 days
Flat #74 : 12 days
Flat #75 : 15 days
Flat #76 : 17 days
Flat #77 : 13 days
Flat #78 : 14 days
Flat #79 : 16 days
Flat #80 : 16 days
Flat #81 : 14 days
Flat #82 : 13 days
Flat #83 : 11 days
Flat #84 : 20 days
Flat #85 : 14 days
Flat #86 : 20 days
Flat #87 : 13 days
Flat #88 : 16 days
Flat #89 : 19 days
Flat #90 : 19 days
Flat #91 : 11 days
Flat #92 : 16 days
Flat #93 : 14 days
Flat #94 : 14 days
Flat #95 : 11 days
Flat #96 : 14 days
Flat #97 : 16 days
Flat #98 : 15 days
Flat #99 : 17 days
Flat #100 : 19 days
